position,salary,hours,years,respon,salq,years_cut,time
TECNICO ESPECIALIZADO D,2106436.0,Tiempo Completo,37,TÉCNICO EN GUÍA DE HORARIOS Y CURSOS                                                                                                                                                                                                                            ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
TECNICO ESPECIALIZADO D,2003683.0,Tiempo Completo,32,TÉCNICO EN MANTENIMIENTO DE REDES DE TELECOMUNICACIONES                                                                                                                                                                                                         ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL C,3251849.0,Tiempo Completo,30,PROFESIONAL COORDINADOR DE PROGRAMA DE VOLUNTARIADO UNIVERSITARIO                                                                                                                                                                                               ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4078205.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5479814.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4184630.0,Tiempo Completo,28,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1635540.0,3/4 de tiempo,19,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5377424.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3626400.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL B,3168660.0,Tiempo Completo,39,PROFESIONAL GESTOR DE FINANCIAMIENTO DE INVESTIGACIÓN                                                                                                                                                                                                           ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,578003.25,3/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,1450493.0,Tiempo Completo,34,CHOFER                                                                                                                                                                                                                                                          ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1368589.05,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,2697791.0,Tiempo Completo,35,PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1155527.0,Tiempo Completo,6,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
