PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2106436.00;1.000;37; ;TÉCNICO EN GUÍA DE HORARIOS Y CURSOS                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;2003683.00;1.000;32; ;TÉCNICO EN MANTENIMIENTO DE REDES DE TELECOMUNICACIONES                                                                                                                                                                                                         
PROFESIONAL C;3251849.00;1.000;30; ;PROFESIONAL COORDINADOR DE PROGRAMA DE VOLUNTARIADO UNIVERSITARIO                                                                                                                                                                                               
PROFESOR CATEDRATICO                   ;4078205.00;1.000;23; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;5479814.00;1.000;27; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;4184630.00;1.000;28; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1635540.00;0.750;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;5377424.00;1.000;33; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3626400.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;3168660.00;1.000;39; ;PROFESIONAL GESTOR DE FINANCIAMIENTO DE INVESTIGACIÓN                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;578003.25;0.339;6; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1450493.00;1.000;34; ;CHOFER                                                                                                                                                                                                                                                          
PROFESOR INSTRUCTOR                    ;1368589.05;0.927;14; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2697791.00;1.000;35; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;1155527.00;1.000;6; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;422380.50;0.250;12;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO B;1405281.00;1.000;37; ;MENSAJERO                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;3359543.05;1.000;24; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL D;3602558.00;1.000;28; ;PROFESIONAL COORDINADOR DE AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                 
TRABAJADOR OPERATIVO C;1333674.00;1.000;29; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2607379.00;1.000;31; ;PROFESIONAL EN CANJE DE RECURSOS BIBLIOGRÁFICOS                                                                                                                                                                                                                 
PROFESOR INTERINO;3773874.75;1.250;30; ;JEFATURA ADMINISTRATIVA C DE ESCUELA                                                                                                                                                                                                                            
DIRECTOR ESTACION EXPERIMENTAL;7355390.00;1.000;37; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;157806.00;0.125;14;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2491979.00;1.000;35; ;FACILITADOR EN EL TRÁMITE DE PROYECTOS DE EXTENSIÓN CULTURAL Y DOCENTE                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;3137316.00;1.000;21; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2904351.00;1.000;33; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;2031707.00;1.000;33; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2401921.50;1.000;21; ;PUESTO NO ADMINISTRATIVO 
VICERRECTOR;5476023.00;1.000;26; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;104033.60;0.125;1; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3440795.00;1.000;23; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1612119.00;1.000;27; ;TÉCNICO EN ADMISIÓN ESTUDIANTIL                                                                                                                                                                                                                                 
PROFESIONAL B;2933838.00;1.000;24; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
