position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
TECNICO ESPECIALIZADO D,2106436.0,Full time,37,ADMINISTRATIVO,2.106436,12119.215509384981,40 años
TECNICO ESPECIALIZADO D,2003683.0,Full time,32,ADMINISTRATIVO,2.003683,11528.03412469737,40 años
PROFESIONAL C,3251849.0,Full time,30,ADMINISTRATIVO,3.251849,18709.26001785862,30 años
PROFESOR CATEDRATICO,4078205.0,Full time,23,PUESTO NO ADMINISTRATIVO ,4.078205,23463.63492005044,30 años
PROFESOR CATEDRATICO,5479814.0,Full time,27,PUESTO NO ADMINISTRATIVO ,5.479814,31527.683165947103,30 años
PROFESOR CATEDRATICO,4184630.0,Full time,28,PUESTO NO ADMINISTRATIVO ,4.18463,24075.94287081956,30 años
PROFESOR INSTRUCTOR                    ,1635540.0,3/4 of time,19,PUESTO NO ADMINISTRATIVO ,1.63554,12546.602719297436,20 años
PROFESOR CATEDRATICO,5377424.0,Full time,33,PUESTO NO ADMINISTRATIVO ,5.377424,30938.59027349467,40 años
PROFESOR CATEDRATICO,3626400.0,Full time,20,PUESTO NO ADMINISTRATIVO ,3.6264,20864.210032127106,20 años
PROFESIONAL B,3168660.0,Full time,39,ADMINISTRATIVO,3.16866,18230.638583829663,40 años
PROFESOR INTERINO LICENCIADO           ,578003.25,3/8 of time,6,PUESTO NO ADMINISTRATIVO ,0.57800325,8867.99118115455,10 años
TRABAJADOR OPERATIVO C,1450493.0,Full time,34,ADMINISTRATIVO,1.450493,8345.298533567766,40 años
PROFESOR INSTRUCTOR                    ,1368589.05,Full time,14,PUESTO NO ADMINISTRATIVO ,1.36858905,7874.070534654011,20 años
PROFESIONAL A,2697791.0,Full time,35,ADMINISTRATIVO,2.697791,15521.530456315415,40 años
PROFESOR INTERINO LICENCIADO           ,1155527.0,Full time,6,PUESTO NO ADMINISTRATIVO ,1.155527,6648.234619951947,10 años
PROFESOR INTERINO LICENCIADO           ,422380.5,1/4 of  time,12,PUESTO NO ADMINISTRATIVO ,0.4223805,9720.533273190893,20 años
TRABAJADOR OPERATIVO B,1405281.0,Full time,37,ADMINISTRATIVO,1.405281,8085.174811978164,40 años
PROFESOR ASOCIADO                      ,3359543.05,Full time,24,PUESTO NO ADMINISTRATIVO ,3.3595430499999996,19328.869348988774,30 años
PROFESIONAL D,3602558.0,Full time,28,ADMINISTRATIVO,3.602558,20727.036941572846,30 años
TRABAJADOR OPERATIVO C,1333674.0,Full time,29,PUESTO NO ADMINISTRATIVO ,1.333674,7673.189513122404,30 años
PROFESIONAL A,2607379.0,Full time,31,ADMINISTRATIVO,2.607379,15001.352054201838,40 años
DIRECTOR,7355390.0,Full time,37,PUESTO NO ADMINISTRATIVO ,7.35539,42318.66364113374,40 años
PROFESOR INTERINO LICENCIADO           ,157806.0,1/8  of time,14,PUESTO NO ADMINISTRATIVO ,0.157806,7263.396268100265,20 años
PROFESIONAL A,2491979.0,Full time,35,ADMINISTRATIVO,2.491979,14337.407139766732,40 años
PROFESOR CATEDRATICO,3137316.0,Full time,21,PUESTO NO ADMINISTRATIVO ,3.137316,18050.30332041498,30 años
PROFESOR ADJUNTO                       ,2904351.0,Full time,33,PUESTO NO ADMINISTRATIVO ,2.904351,16709.95733262144,40 años
TECNICO ESPECIALIZADO D,2031707.0,Full time,33,PUESTO NO ADMINISTRATIVO ,2.031707,11689.268026622234,40 años
PROFESOR INSTRUCTOR                    ,2401921.5,Full time,21,PUESTO NO ADMINISTRATIVO ,2.4019215,13819.268325800183,30 años
VICERRECTOR,5476023.0,Full time,26,PUESTO NO ADMINISTRATIVO ,5.476023,31505.871942631475,30 años
PROFESOR INTERINO LICENCIADO           ,104033.6,1/8  of time,1,PUESTO NO ADMINISTRATIVO ,0.1040336,4788.393736594526,10 años
PROFESOR CATEDRATICO,3440795.0,Full time,23,PUESTO NO ADMINISTRATIVO ,3.440795,19796.346116670196,30 años
TECNICO ESPECIALIZADO B,1612119.0,Full time,27,ADMINISTRATIVO,1.612119,9275.201139637855,30 años
PROFESIONAL B,2933838.0,Full time,24,ADMINISTRATIVO,2.933838,16879.608491130522,30 años
PROFESOR INTERINO LICENCIADO           ,459925.3,Part Time,6,PUESTO NO ADMINISTRATIVO ,0.4599253,5292.28880338025,10 años
PROFESOR INSTRUCTOR                    ,148521.6,1/4 of  time,33,PUESTO NO ADMINISTRATIVO ,0.1485216,3418.0298441513014,40 años
PROFESOR ASOCIADO                      ,3930660.0,Full time,26,PUESTO NO ADMINISTRATIVO ,3.93066,22614.746251070137,30 años
PROFESOR CATEDRATICO,4826026.0,Full time,30,PUESTO NO ADMINISTRATIVO ,4.826026,27766.164814831856,30 años
PROFESOR ASOCIADO                      ,3706740.0,Full time,36,PUESTO NO ADMINISTRATIVO ,3.70674,21326.439966492067,40 años
TRABAJADOR OPERATIVO C,1411553.0,Full time,33,ADMINISTRATIVO,1.411553,8121.260275611933,40 años
PROFESOR INTERINO LICENCIADO           ,288496.65,Part Time,19,PUESTO NO ADMINISTRATIVO ,0.28849665,3319.686024247222,20 años
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 of  time,0,PUESTO NO ADMINISTRATIVO ,0.1476606,3398.2150583166867,10 años
TECNICO ASISTENCIAL B,1372341.0,Full time,25,ADMINISTRATIVO,1.372341,7895.657086835248,30 años
PROFESOR ASOCIADO                      ,3373970.0,Full time,29,PUESTO NO ADMINISTRATIVO ,3.37397,19411.87368246633,30 años
PROFESOR INSTRUCTOR                    ,1973268.0,Full time,9,PUESTO NO ADMINISTRATIVO ,1.973268,11353.043790446556,10 años
DIRECTOR ESCUELA,3184685.0,Full time,24,PUESTO NO ADMINISTRATIVO ,3.184685,18322.837173550826,30 años
TECNICO ESPECIALIZADO B,1612119.0,Full time,28,ADMINISTRATIVO,1.612119,9275.201139637855,30 años
PROFESOR INTERINO LICENCIADO           ,1693387.0,Full time,22,PUESTO NO ADMINISTRATIVO ,1.693387,9742.770249744546,30 años
TECNICO ESPECIALIZADO D,1975660.0,Full time,31,ADMINISTRATIVO,1.97566,11366.805976194639,40 años
PROFESOR ADJUNTO                       ,1411831.0,Part Time,29,PUESTO NO ADMINISTRATIVO ,1.411831,16245.719453931195,30 años
TECNICO ESPECIALIZADO D,1919612.0,Full time,29,ADMINISTRATIVO,1.919612,11044.33817234491,30 años
PROFESOR ADJUNTO                       ,1668289.95,7/8 of time,20,PUESTO NO ADMINISTRATIVO ,1.66828995,10969.572944844735,20 años
PROFESOR CATEDRATICO,5018211.0,Full time,26,PUESTO NO ADMINISTRATIVO ,5.018211,28871.886247940274,30 años
TECNICO ASISTENCIAL A,1433928.0,Full time,32,ADMINISTRATIVO,1.433928,8249.993095893436,40 años
PROFESOR INTERINO LICENCIADO           ,433762.0,Part Time,10,PUESTO NO ADMINISTRATIVO ,0.433762,4991.231784665519,10 años
PROFESIONAL C,3423279.0,Full time,33,ADMINISTRATIVO,3.423279,19695.569174545017,40 años
PROFESOR INSTRUCTOR                    ,983169.0,Part Time,23,PUESTO NO ADMINISTRATIVO ,0.983169,11313.172575047636,30 años
PROFESOR INSTRUCTOR                    ,2490632.0,Full time,33,PUESTO NO ADMINISTRATIVO ,2.490632,14329.65728015023,40 años
PROFESOR INSTRUCTOR                    ,219424.1,1/8  of time,20,PUESTO NO ADMINISTRATIVO ,0.2194241,10099.515791993077,20 años
TECNICO ASISTENCIAL A,1515034.0,Full time,37,ADMINISTRATIVO,1.515034,8716.63015161418,40 años
PROFESOR INTERINO LICENCIADO           ,844760.95,Full time,7,PUESTO NO ADMINISTRATIVO ,0.84476095,4860.26634892434,10 años
PROFESOR INTERINO LICENCIADO           ,568027.25,Part Time,22,PUESTO NO ADMINISTRATIVO ,0.56802725,6536.201107418692,30 años
PROFESIONAL C,3667989.0,Full time,30,ADMINISTRATIVO,3.667989,21103.489105319844,30 años
PROFESOR INTERINO LICENCIADO           ,2344572.0,Full time,34,PUESTO NO ADMINISTRATIVO ,2.344572,13489.31244304112,40 años
PROFESOR ADJUNTO                       ,1227678.0,Part Time,32,PUESTO NO ADMINISTRATIVO ,1.227678,14126.699560898822,40 años
PROFESOR ADJUNTO                       ,2339936.0,Full time,19,PUESTO NO ADMINISTRATIVO ,2.339936,13462.639578021006,20 años
PROFESOR CATEDRATICO,4897108.0,Full time,36,PUESTO NO ADMINISTRATIVO ,4.897108,28175.129567066488,40 años
PROFESOR ASOCIADO                      ,3056332.0,Full time,19,PUESTO NO ADMINISTRATIVO ,3.056332,17584.36818219477,20 años
PROFESOR ADJUNTO                       ,2369672.0,Full time,15,PUESTO NO ADMINISTRATIVO ,2.369672,13633.723338641823,20 años
TRABAJADOR OPERATIVO A,1135747.0,Full time,23,ADMINISTRATIVO,1.135747,6534.4319301120295,30 años
PROFESOR CATEDRATICO,4348286.0,Full time,22,PUESTO NO ADMINISTRATIVO ,4.348286,25017.524923824687,30 años
PROFESOR INTERINO LICENCIADO           ,180145.9,1/4 of  time,14,PUESTO NO ADMINISTRATIVO ,0.1801459,4145.8216347083235,20 años
PROFESOR ASOCIADO                      ,3160198.8,7/8 of time,31,PUESTO NO ADMINISTRATIVO ,3.1601988,20779.38026109358,40 años
PROFESOR INSTRUCTOR                    ,113842.1,1/8  of time,10,PUESTO NO ADMINISTRATIVO ,0.1138421,5239.853264721856,10 años
PROFESIONAL B,3210215.0,Full time,33,ADMINISTRATIVO,3.210215,18469.72204066979,40 años
TECNICO ASISTENCIAL B,1351064.0,Full time,24,ADMINISTRATIVO,1.351064,7773.241524058509,30 años
PROFESOR CATEDRATICO,3756701.0,Full time,24,PUESTO NO ADMINISTRATIVO ,3.756701,21613.88668980309,30 años
TECNICO ESPECIALIZADO B,1588235.0,Full time,27,ADMINISTRATIVO,1.588235,9137.786405353903,30 años
PROFESOR INSTRUCTOR                    ,568325.75,1/4 of  time,19,PUESTO NO ADMINISTRATIVO ,0.56832575,13079.271800867155,20 años
PROFESIONAL A,2675188.0,Full time,33,ADMINISTRATIVO,2.675188,15391.485855787021,40 años
PROFESIONAL B,2678848.0,Full time,31,ADMINISTRATIVO,2.678848,15412.5433808029,40 años
TECNICO ASISTENCIAL A,1333653.0,Full time,27,ADMINISTRATIVO,1.333653,7673.068691257559,30 años
TECNICO ESPECIALIZADO D,2031707.0,Full time,33,ADMINISTRATIVO,2.031707,11689.268026622234,40 años
JEFE A,3638504.0,Full time,34,ADMINISTRATIVO,3.638504,20933.84945365503,40 años
PROFESOR INSTRUCTOR                    ,2504353.5,Full time,26,PUESTO NO ADMINISTRATIVO ,2.5043535,14408.602861982305,30 años
PROFESOR CATEDRATICO,3443560.0,Full time,27,PUESTO NO ADMINISTRATIVO ,3.44356,19812.254328874813,30 años
PROFESOR CATEDRATICO,4842369.0,Full time,24,PUESTO NO ADMINISTRATIVO ,4.842369,27860.19299279211,30 años
TECNICO ASISTENCIAL A,1273489.0,Full time,24,PUESTO NO ADMINISTRATIVO ,1.273489,7326.919801898168,30 años
PROFESOR INTERINO LICENCIADO           ,1849408.0,Full time,14,PUESTO NO ADMINISTRATIVO ,1.849408,10640.424924745237,20 años
JEFE A,3684579.0,Full time,30,ADMINISTRATIVO,3.684579,21198.93837854756,30 años
TRABAJADOR OPERATIVO B,1330829.0,Full time,33,ADMINISTRATIVO,1.330829,7656.821027146946,40 años
PROFESOR INTERINO LICENCIADO           ,973770.0,3/4 of time,11,PUESTO NO ADMINISTRATIVO ,0.97377,7470.013163829845,20 años
TRABAJADOR OPERATIVO C,1444003.0,Full time,35,ADMINISTRATIVO,1.444003,8307.958823908459,40 años
PROFESOR CATEDRATICO,8573812.0,Full time,49,PUESTO NO ADMINISTRATIVO ,8.573812,49328.759746297095,50 años
PROFESOR INSTRUCTOR                    ,1742921.9,Full time,19,ADMINISTRATIVO,1.7429218999999998,10027.765439883642,20 años
TECNICO ASISTENCIAL B,1500000.0,Full time,31,ADMINISTRATIVO,1.5,8630.133203229281,40 años
TRABAJADOR OPERATIVO C,1691698.0,Full time,25,ADMINISTRATIVO,1.691698,9733.05271975771,30 años
PROFESOR INSTRUCTOR                    ,1983473.0,Full time,13,PUESTO NO ADMINISTRATIVO ,1.983473,11411.757463339192,20 años
PROFESOR ADJUNTO                       ,1847323.55,7/8 of time,21,PUESTO NO ADMINISTRATIVO ,1.84732355,12146.779661685627,30 años
TRABAJADOR OPERATIVO C,1790751.0,Full time,23,ADMINISTRATIVO,1.790751,10302.946442544024,30 años
PROFESOR INSTRUCTOR                    ,2759944.5,Full time,15,PUESTO NO ADMINISTRATIVO ,2.7599445,15879.125779013357,20 años
TRABAJADOR OPERATIVO B,1392872.0,Full time,35,ADMINISTRATIVO,1.392872,8013.780596698915,40 años
PROFESOR INTERINO LICENCIADO           ,646085.75,Part Time,9,PUESTO NO ADMINISTRATIVO ,0.64608575,7434.408110944389,10 años
