position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
PROFESOR CATEDRATICO,4078205.0,Full time,23,PUESTO NO ADMINISTRATIVO ,4.078205,23463.63492005044,30 años
PROFESOR CATEDRATICO,5479814.0,Full time,27,PUESTO NO ADMINISTRATIVO ,5.479814,31527.683165947103,30 años
PROFESOR CATEDRATICO,4184630.0,Full time,28,PUESTO NO ADMINISTRATIVO ,4.18463,24075.94287081956,30 años
PROFESOR INSTRUCTOR                    ,1635540.0,3/4 of time,19,PUESTO NO ADMINISTRATIVO ,1.63554,12546.602719297436,20 años
PROFESOR CATEDRATICO,5377424.0,Full time,33,PUESTO NO ADMINISTRATIVO ,5.377424,30938.59027349467,40 años
PROFESOR CATEDRATICO,3626400.0,Full time,20,PUESTO NO ADMINISTRATIVO ,3.6264,20864.210032127106,20 años
PROFESOR INTERINO LICENCIADO           ,578003.25,3/8 of time,6,PUESTO NO ADMINISTRATIVO ,0.57800325,8867.99118115455,10 años
PROFESOR INSTRUCTOR                    ,1368589.05,Full time,14,PUESTO NO ADMINISTRATIVO ,1.36858905,7874.070534654011,20 años
PROFESOR INTERINO LICENCIADO           ,1155527.0,Full time,6,PUESTO NO ADMINISTRATIVO ,1.155527,6648.234619951947,10 años
PROFESOR INTERINO LICENCIADO           ,422380.5,1/4 of  time,12,PUESTO NO ADMINISTRATIVO ,0.4223805,9720.533273190893,20 años
PROFESOR ASOCIADO                      ,3359543.05,Full time,24,PUESTO NO ADMINISTRATIVO ,3.3595430499999996,19328.869348988774,30 años
PROFESOR INTERINO LICENCIADO           ,157806.0,1/8  of time,14,PUESTO NO ADMINISTRATIVO ,0.157806,7263.396268100265,20 años
PROFESOR CATEDRATICO,3137316.0,Full time,21,PUESTO NO ADMINISTRATIVO ,3.137316,18050.30332041498,30 años
PROFESOR ADJUNTO                       ,2904351.0,Full time,33,PUESTO NO ADMINISTRATIVO ,2.904351,16709.95733262144,40 años
PROFESOR INSTRUCTOR                    ,2401921.5,Full time,21,PUESTO NO ADMINISTRATIVO ,2.4019215,13819.268325800183,30 años
PROFESOR INTERINO LICENCIADO           ,104033.6,1/8  of time,1,PUESTO NO ADMINISTRATIVO ,0.1040336,4788.393736594526,10 años
PROFESOR CATEDRATICO,3440795.0,Full time,23,PUESTO NO ADMINISTRATIVO ,3.440795,19796.346116670196,30 años
PROFESOR INTERINO LICENCIADO           ,459925.3,Part Time,6,PUESTO NO ADMINISTRATIVO ,0.4599253,5292.28880338025,10 años
PROFESOR INSTRUCTOR                    ,148521.6,1/4 of  time,33,PUESTO NO ADMINISTRATIVO ,0.1485216,3418.0298441513014,40 años
PROFESOR ASOCIADO                      ,3930660.0,Full time,26,PUESTO NO ADMINISTRATIVO ,3.93066,22614.746251070137,30 años
PROFESOR CATEDRATICO,4826026.0,Full time,30,PUESTO NO ADMINISTRATIVO ,4.826026,27766.164814831856,30 años
PROFESOR ASOCIADO                      ,3706740.0,Full time,36,PUESTO NO ADMINISTRATIVO ,3.70674,21326.439966492067,40 años
PROFESOR INTERINO LICENCIADO           ,288496.65,Part Time,19,PUESTO NO ADMINISTRATIVO ,0.28849665,3319.686024247222,20 años
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 of  time,0,PUESTO NO ADMINISTRATIVO ,0.1476606,3398.2150583166867,10 años
PROFESOR ASOCIADO                      ,3373970.0,Full time,29,PUESTO NO ADMINISTRATIVO ,3.37397,19411.87368246633,30 años
PROFESOR INSTRUCTOR                    ,1973268.0,Full time,9,PUESTO NO ADMINISTRATIVO ,1.973268,11353.043790446556,10 años
PROFESOR INTERINO LICENCIADO           ,1693387.0,Full time,22,PUESTO NO ADMINISTRATIVO ,1.693387,9742.770249744546,30 años
PROFESOR ADJUNTO                       ,1411831.0,Part Time,29,PUESTO NO ADMINISTRATIVO ,1.411831,16245.719453931195,30 años
PROFESOR ADJUNTO                       ,1668289.95,7/8 of time,20,PUESTO NO ADMINISTRATIVO ,1.66828995,10969.572944844735,20 años
PROFESOR CATEDRATICO,5018211.0,Full time,26,PUESTO NO ADMINISTRATIVO ,5.018211,28871.886247940274,30 años
PROFESOR INTERINO LICENCIADO           ,433762.0,Part Time,10,PUESTO NO ADMINISTRATIVO ,0.433762,4991.231784665519,10 años
PROFESOR INSTRUCTOR                    ,983169.0,Part Time,23,PUESTO NO ADMINISTRATIVO ,0.983169,11313.172575047636,30 años
PROFESOR INSTRUCTOR                    ,2490632.0,Full time,33,PUESTO NO ADMINISTRATIVO ,2.490632,14329.65728015023,40 años
PROFESOR INSTRUCTOR                    ,219424.1,1/8  of time,20,PUESTO NO ADMINISTRATIVO ,0.2194241,10099.515791993077,20 años
PROFESOR INTERINO LICENCIADO           ,844760.95,Full time,7,PUESTO NO ADMINISTRATIVO ,0.84476095,4860.26634892434,10 años
PROFESOR INTERINO LICENCIADO           ,568027.25,Part Time,22,PUESTO NO ADMINISTRATIVO ,0.56802725,6536.201107418692,30 años
PROFESOR INTERINO LICENCIADO           ,2344572.0,Full time,34,PUESTO NO ADMINISTRATIVO ,2.344572,13489.31244304112,40 años
PROFESOR ADJUNTO                       ,1227678.0,Part Time,32,PUESTO NO ADMINISTRATIVO ,1.227678,14126.699560898822,40 años
PROFESOR ADJUNTO                       ,2339936.0,Full time,19,PUESTO NO ADMINISTRATIVO ,2.339936,13462.639578021006,20 años
PROFESOR CATEDRATICO,4897108.0,Full time,36,PUESTO NO ADMINISTRATIVO ,4.897108,28175.129567066488,40 años
PROFESOR ASOCIADO                      ,3056332.0,Full time,19,PUESTO NO ADMINISTRATIVO ,3.056332,17584.36818219477,20 años
PROFESOR ADJUNTO                       ,2369672.0,Full time,15,PUESTO NO ADMINISTRATIVO ,2.369672,13633.723338641823,20 años
PROFESOR CATEDRATICO,4348286.0,Full time,22,PUESTO NO ADMINISTRATIVO ,4.348286,25017.524923824687,30 años
PROFESOR INTERINO LICENCIADO           ,180145.9,1/4 of  time,14,PUESTO NO ADMINISTRATIVO ,0.1801459,4145.8216347083235,20 años
PROFESOR ASOCIADO                      ,3160198.8,7/8 of time,31,PUESTO NO ADMINISTRATIVO ,3.1601988,20779.38026109358,40 años
PROFESOR INSTRUCTOR                    ,113842.1,1/8  of time,10,PUESTO NO ADMINISTRATIVO ,0.1138421,5239.853264721856,10 años
PROFESOR CATEDRATICO,3756701.0,Full time,24,PUESTO NO ADMINISTRATIVO ,3.756701,21613.88668980309,30 años
PROFESOR INSTRUCTOR                    ,568325.75,1/4 of  time,19,PUESTO NO ADMINISTRATIVO ,0.56832575,13079.271800867155,20 años
PROFESOR INSTRUCTOR                    ,2504353.5,Full time,26,PUESTO NO ADMINISTRATIVO ,2.5043535,14408.602861982305,30 años
PROFESOR CATEDRATICO,3443560.0,Full time,27,PUESTO NO ADMINISTRATIVO ,3.44356,19812.254328874813,30 años
PROFESOR CATEDRATICO,4842369.0,Full time,24,PUESTO NO ADMINISTRATIVO ,4.842369,27860.19299279211,30 años
